Commodity,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Date,District,Category
Maize,0.16,Tonnes,Deshi Red,2400,2600,2600,Rs/Quintal,2025-02-01,AJattihalli,Cereals
Banana,0.77,Tonnes,Besrai,5800,6000,6000,Rs/Quintal,2025-02-01,AJattihalli,Fruits
Guava,0.14,Tonnes,Guava Alahabad,5000,5500,5500,Rs/Quintal,2025-02-01,AJattihalli,Fruits
Papaya,0.22,Tonnes,Papaya,2600,2800,2800,Rs/Quintal,2025-02-01,AJattihalli,Fruits
Tender Coconut,0.24,Tonnes,Tender Coconut,2400,2600,2600,Rs/Quintal,2025-02-01,AJattihalli,Fruits
Groundnut,0.08,Tonnes,Big (With Shell),5200,5500,5500,Rs/Quintal,2025-02-01,AJattihalli,Fruits
Beans,0.16,Tonnes,Beans (Whole),5800,6000,6000,Rs/Quintal,2025-02-01,AJattihalli,Pulses
Green Peas,0.02,Tonnes,Green Peas,6000,6200,6200,Rs/Quintal,2025-02-01,AJattihalli,Pulses
Coconut,0.43,Tonnes,Coconut,6800,7000,7000,Rs/Quintal,2025-02-01,AJattihalli,Pulses
Garlic,0.11,Tonnes,Average,23500,24000,24000,Rs/Quintal,2025-02-01,AJattihalli,Pulses
Amaranthus,0.14,Tonnes,Amaranthus,3800,4000,4000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Ashgourd,0.06,Tonnes,Gouard,1800,2000,2000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Banana - Green,0.24,Tonnes,Banana - Green,2800,3000,3000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Beetroot,0.16,Tonnes,Beetroot,3000,3200,3200,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Bhindi(Ladies Finger),1.09,Tonnes,Bhindi,2800,3000,3000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Bitter gourd,0.42,Tonnes,Bitter Gourd,3200,3500,3500,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Bottle gourd,1.36,Tonnes,Bottle Gourd,1000,1200,1200,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Brinjal,1.22,Tonnes,Round,2400,2600,2600,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Cabbage,0.18,Tonnes,Cabbage,2600,2800,2800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Capsicum,0.01,Tonnes,Capsicum,6000,6500,6500,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Carrot,0.14,Tonnes,Pusakesar,4800,5000,5000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Cauliflower,0.06,Tonnes,Ranchi,2800,3000,3000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Chow Chow,0.08,Tonnes,Chow Chow,2600,2800,2800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Cluster beans,0.22,Tonnes,Cluster Beans,4200,4400,4400,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Coriander(Leaves),0.13,Tonnes,I Sort,2800,3000,3000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Cowpea(Veg),0.16,Tonnes,Cowpea (Veg),4800,5000,5000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Cucumbar(Kheera),0.08,Tonnes,Cucumbar,3600,3800,3800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Drumstick,0.14,Tonnes,Drumstick,15500,16000,16000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Elephant Yam (Suran),0.02,Tonnes,Elephant Yam (Suran),5800,6000,6000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Ginger(Green),0.12,Tonnes,Green Ginger,5600,5800,5800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Green Avare (W),0.97,Tonnes,Avare (W),3600,3800,3800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Green Chilli,0.36,Tonnes,Green Chilly,3400,3600,3600,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Indian Beans (Seam),0.57,Tonnes,Indian Beans (Seam),4800,5000,5000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Knool Khol,0.08,Tonnes,Knool Khol,3600,3800,3800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Lemon,0.15,Tonnes,Lemon,7500,8000,8000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Mint(Pudina),0.12,Tonnes,Mint(Pudina),3800,4000,4000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Onion,0.68,Tonnes,Bellary,4200,4400,4400,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Onion Green,0.46,Tonnes,Onion Green,5600,5800,5800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Potato,0.57,Tonnes,(Red Nanital),4200,4400,4400,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Pumpkin,0.76,Tonnes,Pumpkin,1300,1500,1500,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Raddish,0.48,Tonnes,Raddish,800,1000,1000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Ridgeguard(Tori),0.62,Tonnes,Ridgeguard(Tori),3600,3800,3800,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Snakeguard,0.32,Tonnes,Snakeguard,3200,3500,3500,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Sweet Potato,0.12,Tonnes,Hosur Red,2800,3000,3000,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Thondekai,0.01,Tonnes,Thondekai,5000,5400,5400,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Tomato,3.18,Tonnes,Deshi,2200,2400,2400,Rs/Quintal,2025-02-01,AJattihalli,Vegetables
Banana,0.37,Tonnes,Besrai,5000,6000,6000,Rs/Quintal,2025-02-01,Alangudi,Fruits
Papaya,0.27,Tonnes,Papaya,2500,3000,3000,Rs/Quintal,2025-02-01,Alangudi,Fruits
Coconut,0.54,Tonnes,Coconut,4500,5000,5000,Rs/Quintal,2025-02-01,Alangudi,Fruits
Amaranthus,0.16,Tonnes,Amaranthus,1500,2000,2000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Ashgourd,0.12,Tonnes,Gouard,1500,2000,2000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Banana - Green,0.46,Tonnes,Banana - Green,2500,3000,3000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Bhindi(Ladies Finger),0.16,Tonnes,Bhindi,5000,6000,6000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Bitter gourd,0.14,Tonnes,Bitter Gourd,4500,5000,5000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Bottle gourd,0.14,Tonnes,Bottle Gourd,2000,2500,2500,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Brinjal,0.14,Tonnes,Round,8000,9000,9000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Cluster beans,0.12,Tonnes,Cluster Beans,5000,6000,6000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Coriander(Leaves),0.01,Tonnes,I Sort,3500,4000,4000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Green Avare (W),0.15,Tonnes,Avare (W),4500,5000,5000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Green Chilli,0.13,Tonnes,Green Chilly,4500,5000,5000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Lemon,0.12,Tonnes,Lemon,4500,5000,5000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Mango (Raw-Ripe),0.06,Tonnes,Mango - Raw-Ripe,11000,12000,12000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Mint(Pudina),0.01,Tonnes,Mint(Pudina),3500,4000,4000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Onion Green,0.12,Tonnes,Onion Green,5000,6000,6000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Pumpkin,0.14,Tonnes,Pumpkin,1500,2000,2000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Raddish,0.16,Tonnes,Raddish,2500,3000,3000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Ridgeguard(Tori),0.11,Tonnes,Ridgeguard(Tori),5000,6000,6000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Snakeguard,0.14,Tonnes,Snakeguard,3500,4000,4000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Tomato,0.56,Tonnes,Deshi,2500,3000,3000,Rs/Quintal,2025-02-01,Alangudi,Vegetables
Coconut,0.02,Tonnes,Coconut,5000,6000,6000,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Ashgourd,0.01,Tonnes,Gouard,1200,1500,1500,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Banana - Green,0.15,Tonnes,Banana - Green,1600,2000,2000,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Bottle gourd,0.01,Tonnes,Bottle Gourd,1200,1500,1500,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Brinjal,0.01,Tonnes,Round,2500,3000,3000,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Green Chilli,0.01,Tonnes,Green Chilly,3800,4500,4500,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Onion,0.02,Tonnes,Bellary,3300,4000,4000,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Onion Green,0.01,Tonnes,Onion Green,5500,6500,6500,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Tomato,0.02,Tonnes,Deshi,2000,2500,2500,Rs/Quintal,2025-02-01,Ambasamudram,Vegetables
Coconut,0.02,Tonnes,Coconut,6000,6000,6000,Rs/Quintal,2025-02-01,Ambattur,Vegetables
Brinjal,0.01,Tonnes,Round,4000,4000,4000,Rs/Quintal,2025-02-01,Ambattur,Vegetables
Onion,0.02,Tonnes,Bellary,4000,4000,4000,Rs/Quintal,2025-02-01,Ambattur,Vegetables
Potato,0.01,Tonnes,(Red Nanital),4000,4000,4000,Rs/Quintal,2025-02-01,Ambattur,Vegetables
Tomato,0.02,Tonnes,Deshi,2500,2500,2500,Rs/Quintal,2025-02-01,Ambattur,Vegetables
Maize,0.14,Tonnes,Deshi Red,2000,2500,2500,Rs/Quintal,2025-02-01,Ammapet,Cereals
Marigold(Calcutta),0.01,Nos,Marigold(Calcutta),16000,18000,18000,Rs/No,2025-02-01,Ammapet,Flowers
Rose(Local),0.01,Nos,Rose (Local),20000,22000,22000,Rs/No,2025-02-01,Ammapet,Flowers
Amla(Nelli Kai),0.13,Tonnes,Amla,6000,7000,7000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Apple,0.02,Tonnes,American,18000,20000,20000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Banana,2.1,Tonnes,Besrai,4500,10000,10000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Chikoos(Sapota),0.17,Tonnes,Sapota,4500,5000,5000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Custard Apple (Sharifa),0.02,Tonnes,Custard Apple(Sharifa),9000,10000,10000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Grapes,0.02,Tonnes,Annabesahai,7000,8000,8000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Guava,0.14,Tonnes,Guava Alahabad,5000,6000,6000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Lime,0.01,Tonnes,Lime,4500,5000,5000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Mousambi(Sweet Lime),0.13,Tonnes,Mousambi,3000,3500,3500,Rs/Quintal,2025-02-01,Ammapet,Fruits
Orange,0.03,Tonnes,Darjeeling,6000,8000,8000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Papaya,0.41,Tonnes,Papaya,2500,3000,3000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Pomegranate,0.02,Tonnes,Pomogranate,18000,22000,22000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Tender Coconut,1.38,Tonnes,Tender Coconut,2500,3000,3000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Water Melon,0.09,Tonnes,Water Melon,1800,2000,2000,Rs/Quintal,2025-02-01,Ammapet,Fruits
Groundnut,0.13,Tonnes,Big (With Shell),5000,5500,5500,Rs/Quintal,2025-02-01,Ammapet,Fruits
Arhar (Tur/Red Gram)(Whole),0.09,Tonnes,Arhar (Whole),4500,5000,5000,Rs/Quintal,2025-02-01,Ammapet,Pulses
